"name","type","daging","ikan","cokelat","tepung","cabe","air","roti","sayur","susu"
"Sosis Bakar","ayam-daging","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0"
"Ngohiong Ayam Udang","ayam-daging","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0"
"Rawon Ayam","ayam-daging","0.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0"
"Usus Goreng Crispy","ayam-daging","0.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0"
"Ceker Rica Rica","ayam-daging","0.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0"
"Ceker Kecap Pedas","ayam-daging","1.0","1.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0"
"Ayam Suwir Kecap","ayam-daging","1.0","0.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0"
"Burung Puyuh Bakar","ayam-daging","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0"
"Dangkot Ayam","ayam-daging","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0"
"Ayam Bumbu Merah","ayam-daging","0.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0"
"Pempek Ayam","ayam-daging","1.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","1.0"
"Ngohiong Ayam","ayam-daging","0.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0"
"Rica Rica Bebek","ayam-daging","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0"
"Ayam Rujak Tanpa Santan","ayam-daging","0.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0"
"Daging Goreng","ayam-daging","1.0","1.0","0.0","1.0","1.0","0.0","1.0","1.0","1.0"
"Asam Pedas (Padeh) Daging","ayam-daging","0.0","1.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0"
"Tongseng Kambing Tanpa Santan","ayam-daging","0.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0"
